Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Post-demographic dividend,PST,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,31256.80812,32828.3862,35224.7741,35203.30005,35376.27628,36044.51778,34014.25099,34495.8504,35927.01206,37861.34981,38063.04762,36739.52973,40472.14004,..,..
Pre-demographic dividend,PRE,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,953.1878719,1041.561025,1157.876427,1264.210481,1371.506716,1467.301963,1261.055788,1138.105115,1154.543297,1141.915064,1167.807233,1084.367935,1107.918388,..,..
Small states,SST,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,7612.041699,7821.922604,8470.432824,8684.746429,9017.75436,9191.16123,8637.368015,8817.614821,9524.910923,9999.470488,10103.42939,8914.853052,9798.628957,..,..
South Asia,SAS,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,904.5917832,1083.342077,1175.998148,1174.497847,1191.544787,1291.598339,1344.850197,1471.361823,1668.9503,1694.942442,1747.543129,1631.496939,1874.39354,..,..
South Asia (IDA & IBRD),TSA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,904.5917832,1083.342077,1175.998148,1174.497847,1191.544787,1291.598339,1344.850197,1471.361823,1668.9503,1694.942442,1747.543129,1631.496939,1874.39354,..,..
Sub-Saharan Africa,SSF,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1097.885159,1232.192495,1331.527714,1376.782968,1445.678038,1518.644228,1357.268454,1240.613467,1292.469088,1298.519114,1293.409653,1210.186347,1286.741922,..,..
Sub-Saharan Africa (excluding high income),SSA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1097.186041,1231.406367,1330.71019,1375.985064,1444.676611,1517.648223,1356.26511,1239.594146,1291.415565,1297.425714,1292.288203,1209.38573,1285.834393,..,..
Sub-Saharan Africa (IDA & IBRD countries),TSS,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1097.885159,1232.192495,1331.527714,1376.782968,1445.678038,1518.644228,1357.268454,1240.613467,1292.469088,1298.519114,1293.409653,1210.186347,1286.741922,..,..
Upper middle income,UMC,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,3704.751783,4408.951471,5105.622854,5446.921327,5706.068834,5895.829641,5652.105157,5633.225829,6142.49552,6374.789674,6426.707087,6121.599655,7136.672062,..,..
World,WLD,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,7153.071335,7759.633638,8438.812311,8563.154933,8681.354894,8848.498737,8282.182705,8314.603706,8759.115037,9132.05721,9157.045612,8729.53471,9707.192803,..,..
